GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
karton_predmeta,exception,ValidationException,0,4,0,0,0,2,0,1,0,1
karton_predmeta,exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,NastavnikAngazovanjeServiceImpl,99,0,4,0,25,0,7,0,5,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,StudijskiProgramServiceImpl,37,0,2,0,10,0,3,0,2,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,LiteraturaServiceImpl,282,0,34,0,62,0,24,0,7,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,StatusServiceImpl,120,0,12,0,26,0,10,0,4,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,TipStatusaServiceImpl,37,0,2,0,8,0,3,0,2,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,OcenjivanjeServiceImpl,341,0,56,0,64,0,35,0,7,0
karton_predmeta,com.andjela.karton_predmeta.service.impl,PredmetServiceImpl,0,50,2,6,0,11,2,4,0,2
karton_predmeta,com.andjela.karton_predmeta.service.impl,NastavaServiceImpl,168,0,22,0,32,0,15,0,4,0
karton_predmeta,com.andjela.karton_predmeta.entity,Angazovanje,36,0,0,0,16,0,8,0,8,0
karton_predmeta,com.andjela.karton_predmeta.entity,TipZvanja,17,0,0,0,8,0,5,0,5,0
karton_predmeta,com.andjela.karton_predmeta.entity,TipLiterature,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,Literatura,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.entity,StudijskiProgram,26,0,0,0,11,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,Ocenjivanje,56,0,0,0,24,0,12,0,12,0
karton_predmeta,com.andjela.karton_predmeta.entity,TipNastave,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,AutorLiteratura,36,0,0,0,16,0,8,0,8,0
karton_predmeta,com.andjela.karton_predmeta.entity,Izdavac,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,PredmetLiteratura,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.entity,Autor,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,IspitnaObaveza,36,0,0,0,16,0,8,0,8,0
karton_predmeta,com.andjela.karton_predmeta.entity,Predmet,0,36,0,0,0,15,0,8,0,8
karton_predmeta,com.andjela.karton_predmeta.entity,Nastavnik,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.entity,Status,46,0,0,0,19,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.entity,TipStatusa,9,17,0,0,4,8,1,5,1,5
karton_predmeta,com.andjela.karton_predmeta.entity,TipObaveze,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.entity,Nastava,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.dto,CreateStatusDto,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.dto,StudijskiProgramDto,26,0,0,0,11,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.dto,NastavaStavkaDto,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.dto,PredmetDto,0,36,0,0,0,15,0,8,0,8
karton_predmeta,com.andjela.karton_predmeta.dto,CreateNastavaDto,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.dto,CreatePredmetLiteraturaDto,17,0,0,0,7,0,5,0,5,0
karton_predmeta,com.andjela.karton_predmeta.dto,CreateLiteraturaStavkaDto,56,0,0,0,24,0,12,0,12,0
karton_predmeta,com.andjela.karton_predmeta.dto,DodajNastavnikeNaPredmetDto,26,0,0,0,12,0,6,0,6,0
karton_predmeta,com.andjela.karton_predmeta.dto,NastavnikDto,46,0,0,0,20,0,10,0,10,0
karton_predmeta,com.andjela.karton_predmeta.dto,CreateOcenjivanjeDto,36,0,0,0,16,0,8,0,8,0
karton_predmeta,com.andjela.karton_predmeta.dto,OcenjivanjeStavkaDto,36,0,0,0,16,0,8,0,8,0
karton_predmeta,com.andjela.karton_predmeta.dto,TipStatusaDto,3,23,0,0,1,10,1,5,1,5
karton_predmeta,com.andjela.karton_predmeta.controller,TipLiteratureController,10,0,0,0,4,0,2,0,2,0
karton_predmeta,com.andjela.karton_predmeta.controller,TipStatusaController,0,22,0,0,0,8,0,2,0,2
karton_predmeta,com.andjela.karton_predmeta.controller,NastavnikController,21,0,0,0,6,0,3,0,3,0
karton_predmeta,com.andjela.karton_predmeta.controller,StudijskiProgramController,10,0,0,0,4,0,2,0,2,0
karton_predmeta,com.andjela.karton_predmeta.controller,NastavaController,21,0,0,0,6,0,3,0,3,0
karton_predmeta,com.andjela.karton_predmeta.controller,LiteraturaController,20,0,0,0,6,0,3,0,3,0
karton_predmeta,com.andjela.karton_predmeta.controller,StatusController,23,0,0,0,6,0,3,0,3,0
karton_predmeta,com.andjela.karton_predmeta.controller,OcenjivanjeController,20,0,0,0,6,0,3,0,3,0
karton_predmeta,com.andjela.karton_predmeta.controller,PredmetController,15,0,0,0,4,0,2,0,2,0
karton_predmeta,com.andjela.karton_predmeta.mapper.impl,TipStatusaDtoEntityMapper,14,13,3,1,2,3,3,2,1,2
karton_predmeta,com.andjela.karton_predmeta.mapper.impl,PredmetDtoEntityMapper,4,27,2,2,0,5,2,3,0,3
karton_predmeta,com.andjela.karton_predmeta.mapper.impl,StudijskiProgramDtoEntityMapper,27,0,4,0,5,0,5,0,3,0
karton_predmeta,com.andjela.karton_predmeta,KartonPredmetaApplication,8,0,0,0,3,0,2,0,2,0
